<NOISE> 1.0	NSN
!SIL 1.0	SIL
<SPOKEN_NOISE> 1.0	SPN
<UNK> 1.0	SPN
の 1.0	n o
ち 1.0	ch i
て 1.0	t e
は 1.0	h a
だ 1.0	d a
た 1.0	t a
に 1.0	n i
が 1.0	g a
を 1.0	w o
と 1.0	t o
れ 1.0	r e
為る 1.0	s u r u
も 1.0	m o
で 1.0	d e
居る 1.0	i r u
ます 1.0	m a s u
まし 1.0	m a sh i
か 1.0	k a
です 1.0	d e s u
有る 1.0	a r u
言う 1.0	i u
いう 1.0	i u
なっ 1.0	n a -
かかっ 1.0	k a k a -
ない 1.0	n a i
なく 1.0	n a k u
なら 1.0	n a r a
なきゃ 1.0	n a ky a
なけれ 1.0	n a k e r e
とても 1.0	t o t e m o
から 1.0	k a r a
まま 1.0	m a m a
無い 1.0	n a i
消し 1.0	k e sh i
成る 1.0	n a r u
もちろん 1.0	m o ch i r o N
ある 1.0	a r u
あり 1.0	a r i
ここ 1.0	k o k o
いる 1.0	i r u
ゆがめ 1.0	y u g a m e
御 1.0	o
お 1.0	o
其の 1.0	s o n o
その 1.0	s o n o
一 1.0	i ch i
いち 1.0	i ch i
其れ 1.0	s o r e
それ 1.0	s o r e
良い 1.0	y o i
よい 1.0	y o i
人 1.0	h i t o
何 1.0	n a n i
なに 1.0	n a n i
来る 1.0	k u r u
物 1.0	m o n o
見る 1.0	m i r u
行く 1.0	i k u
よ 1.0	y o
そう 1.0	s o u
方 1.0	k a t a
ほう 1.0	h o u
時 1.0	t o k i
とき 1.0	t o k i
ね 1.0	n e
私 1.0	w a t a k u sh i
出来る 1.0	d e k i
二 1.0	n i
や 1.0	y a
どう 1.0	d o u
此の 1.0	k o n o
この 1.0	k o n o
まで 1.0	m a d e
だけ 1.0	d a k e
てる 1.0	t e r u
三 1.0	s a N
さん 1.0	s a N
中 1.0	ch u u
所 1.0	t o k o r o
たい 1.0	t a i
分かる 1.0	w a k a r u
自分 1.0	j i b u N
へ 1.0	h e
此れ 1.0	k o r e
これ 1.0	k o r e
など 1.0	n a d o
今 1.0	i m a
いま 1.0	i m a
日 1.0	h i
後 1.0	a t o
あと 1.0	a t o
遣る 1.0	y a r u
やる 1.0	y a r u
出る 1.0	d e r u
十 1.0	j u u
じゅう 1.0	j u u
二十 1.0	n i j u u
三十 1.0	s a N j u u
前 1.0	m a e
聞く 1.0	k i k u
目 1.0	m e
達 1.0	t a ch i
年 1.0	n e N
たり 1.0	t a r i
又 1.0	m a t a
五 1.0	g o
ご 1.0	g o
五十 1.0	g o j u u
下さる 1.0	k u d a s a r u
知る 1.0	sh i r u
入る 1.0	h a i r u
より 1.0	y o r i
持つ 1.0	m o ts u
もう 1.0	m o u
使う 1.0	ts u k a u
くらい 1.0	k u r a i
内 1.0	u ch i
四 1.0	y o N
四 1.0	sh i
よん 1.0	y o N
し 1.0	sh i
四十 1.0	y o N j u u
上 1.0	u e
等 1.0	t o u
ながら 1.0	n a g a r a
度 1.0	t a b i
貴方 1.0	a n a t a
あなた 1.0	a n a t a
つ 1.0	ts u
取る 1.0	t o r u
置く 1.0	o k u
出す 1.0	d a s u
家 1.0	i e
同じ 1.0	o n a j i
手 1.0	t e
話 1.0	h a n a sh i
時間 1.0	j i k a N
男 1.0	o t o k o
何処 1.0	d o k o
其処 1.0	s o k o
良く 1.0	y o k u
皆 1.0	m i n a
誰 1.0	d a r e
何時 1.0	i ts u
私 1.0	sh i
万 1.0	m a N
顔 1.0	k a o
未だ 1.0	m a d a
多い 1.0	o o i
車 1.0	sh a
此処 1.0	k o k o
子供 1.0	k o d o m o
掛ける 1.0	k a k e r u
六 1.0	r o k u
ろく 1.0	r o k u
六十 1.0	r o k u j u u
然し 1.0	sh i k a sh i
月 1.0	g a ts u
教える 1.0	o sh i e r u
入れる 1.0	i r e r u
本当 1.0	h o N t o u
少し 1.0	s u k o sh i
八 1.0	h a ch i
はち 1.0	h a ch i
八十 1.0	h a ch i j u u
円 1.0	e N
女 1.0	o N n a
しか 1.0	sh i k a
違う 1.0	ch i g a u
作る 1.0	ts u k u r u
先 1.0	s a k i
上げる 1.0	a g e r u
二人 1.0	f u t a r i
七 1.0	n a n a
七 1.0	sh i ch i
なな 1.0	n a n a
しち 1.0	sh i ch i
七十 1.0	n a n a j u u
悪い 1.0	w a r u i
百 1.0	hy a k u
二百 1.0	n i hy a k u
五百 1.0	g o hy a k u
三百 1.0	s a N by a k u
四百 1.0	y o N hy a k u
六百 1.0	r o - py a k u
七百 1.0	n a n a hy a k u
八百 1.0	h a - py a k u
声 1.0	k o e
書く 1.0	k a k u
余り 1.0	a m a r i
そして 1.0	s o sh i t e
歳 1.0	s a i
一人 1.0	h i t o r i
分 1.0	f u N
仕事 1.0	sh i g o t o
直ぐ 1.0	s u g u
こんな 1.0	k o N n a
言葉 1.0	k o t o b a
掛かる 1.0	k a k a r u
下 1.0	sh i t a
買う 1.0	k a u
電話 1.0	d e N w a
一寸 1.0	ch o - t o
母 1.0	b o
何故 1.0	n a z e
どんな 1.0	d o N n a
好き 1.0	s u k i
九 1.0	ky u u
九 1.0	k u
きゅう 1.0	ky u u
九十 1.0	ky u u j u u
九百 1.0	ky u u hy a k u
店 1.0	m i s e
頭 1.0	t o u
頃 1.0	k o r o
高い 1.0	t a k a i
意味 1.0	i m i
質問 1.0	sh i ts u m o N
何の 1.0	d o n o
食べる 1.0	t a b e r u
問題 1.0	m o N d a i
口 1.0	k u ch i
体 1.0	t a i
会社 1.0	k a i sh a
本 1.0	h o N
今日 1.0	ky o u
一緒 1.0	i - sh o
大きい 1.0	o o k i i
一番 1.0	i ch i b a N
切る 1.0	k i r u
話す 1.0	h a n a s u
零 1.0	r e i
れい 1.0	r e i
回 1.0	k a i
何方 1.0	d o ch i r a
どちら 1.0	d o ch i r a
飲む 1.0	n o m u
父 1.0	ch i ch i
欲しい 1.0	h o sh i i
ほしい 1.0	h o sh i i
早い 1.0	h a y a i
はやい 1.0	h a y a i
帰る 1.0	k a e r u
かえる 1.0	k a e r u
わ 1.0	w a
わたし 1.0	w a t a sh i
先生 1.0	s e N s e i
次 1.0	ts u g i
部屋 1.0	h e y a
立つ 1.0	t a ts u
立っ 1.0	t a -
結婚 1.0	k e - k o N
長い 1.0	n a g a i
何れ 1.0	i z u r e
いずれ 1.0	i z u r e
呼ぶ 1.0	y o b u
待つ 1.0	m a ts u
会う 1.0	a u
甘い 1.0	u m a i
箇月 1.0	k a g e ts u
風 1.0	k a z e
かぜ 1.0	k a z e
此方 1.0	k o ch i r a
こちら 1.0	k o ch i r a
外 1.0	g a i
迚も 1.0	t o t e m o
開く 1.0	h i r a k u
千 1.0	s e N
二千 1.0	n i s e N
五千 1.0	g o s e N
三千 1.0	s a N z e N
四千 1.0	y o N s e N
八千 1.0	h a - s e N
六千 1.0	r o k u s e N
七千 1.0	n a n a s e N
九千 1.0	ky u u s e N
木曽 1.0	k i s o
名前 1.0	n a m a e
読む 1.0	y o m u
乗る 1.0	n o r u
呼ば 1.0	y o b a
色々 1.0	i r o i r o
死ぬ 1.0	sh i n u
強い 1.0	ts u y o i
水 1.0	m i z u
夜 1.0	y o r u
初めて 1.0	h a j i m e t e
側 1.0	g a w a
少ない 1.0	s u k u n a i
ほぼ 1.0	h o b o
しばしば 1.0	sh i b a sh i b a
嫌 1.0	i y a
歩く 1.0	a r u k u
国 1.0	k u n i
大きな 1.0	o o k i n a
屋 1.0	y a
若い 1.0	w a k a i
色 1.0	i r o
答える 1.0	k o t a e r u
見せる 1.0	m i s e r u
終わる 1.0	o w a r u
もっと 1.0	m o - t o
あの 1.0	a n o
道 1.0	d o u
忘れる 1.0	w a s u r e r u
足 1.0	a sh i
売る 1.0	u r u
沢山 1.0	t a k u s a N
走る 1.0	h a sh i r u
友達 1.0	t o m o d a ch i
幾ら 1.0	i k u r a
では 1.0	d e h a
学校 1.0	g a - k o u
引く 1.0	h i k u
テレビ 1.0	t e r e b i
大学 1.0	d a i g a k u
困る 1.0	k o m a r u
近く 1.0	ch i k a k u
住む 1.0	s u m u
大変 1.0	t a i h e N
小さい 1.0	ch i i s a i
朝 1.0	ch o u
開ける 1.0	a k e r u
覚える 1.0	o b o e r u
山 1.0	y a m a
働く 1.0	h a t a r a k u
毎日 1.0	m a i n i ch i
新しい 1.0	a t a r a sh i i
病院 1.0	by o u i N
町 1.0	ch o u
奇麗 1.0	k i r e i
小さな 1.0	ch i i s a n a
大丈夫 1.0	d a i j o u b u
写真 1.0	sh a sh i N
寝る 1.0	n e r u
ロン 1.0	r o N
家族 1.0	k a z o k u
結構 1.0	k e - k o u
ページ 1.0	p e : j i
近い 1.0	ch i k a i
枚 1.0	b a i
安い 1.0	y a s u i
やすい 1.0	y a s u i
面白い 1.0	o m o sh i r o i
おもしろい 1.0	o m o sh i r o i
ああ 1.0	a a
耳 1.0	m i m i
多分 1.0	t a b u N
たぶん 1.0	t a b u N
生まれる 1.0	u m a r e r u
座る 1.0	s u w a r u
犬 1.0	i n u
難しい 1.0	m u z u k a sh i i
むずかしい 1.0	m u z u k a sh i i
むずかしく 1.0	m u z u k a sh i k u
むしろ 1.0	m u sh i r o
木 1.0	k i
ホテル 1.0	h o t e r u
消える 1.0	k i e r u
酒 1.0	s a k e
美味しい 1.0	o i sh i i
白い 1.0	sh i r o i
幾 1.0	i k u
着る 1.0	k i r u
遊ぶ 1.0	a s o b u
海 1.0	u m i
起きる 1.0	o k i r u
駅 1.0	e k i
週間 1.0	sh u u k a N
頼む 1.0	t a n o m u
はい 1.0	h a i
兄 1.0	a n i
がる 1.0	g a r u
明日 1.0	a s u
番 1.0	b a N
押す 1.0	o s u
辛い 1.0	d u r a i
楽しい 1.0	t a n o sh i i
可愛い 1.0	k a w a i i
低い 1.0	h i k u i
横 1.0	y o k o
軽い 1.0	k a r u i
全部 1.0	z e N b u
階 1.0	k a i
始まる 1.0	h a j i m a r u
語 1.0	g o
半 1.0	h a N
勉強 1.0	b e N ky o u
旅行 1.0	ry o k o u
料理 1.0	ry o u r i
女の子 1.0	o N n a n o k o
昨日 1.0	k i n o u
台 1.0	d a i
窓 1.0	m a d o
張る 1.0	h a r u
猫 1.0	n e k o
痛い 1.0	i t a i
右 1.0	m i g i
花 1.0	h a n a
ドア 1.0	d o a
返す 1.0	k a e s u
歯 1.0	h a
新聞 1.0	sh i N b u N
ゆっくり 1.0	y u - k u r i
伯父 1.0	o j i
重い 1.0	o m o i
川 1.0	k a w a
姉 1.0	a n e
遅い 1.0	o s o i
後ろ 1.0	u sh i r o
ずつ 1.0	z u ts u
空 1.0	s o r a
映画 1.0	e i g a
番号 1.0	b a N g o u
紙 1.0	k a m i
渡る 1.0	w a t a r u
古い 1.0	f u r u i
広い 1.0	h i r o i
薬 1.0	k u s u r i
服 1.0	f u k u
止まる 1.0	t o m a r u
隣り 1.0	t o n a r i
両親 1.0	ry o u sh i N
夏 1.0	n a ts u
なつ 1.0	n a ts u
英語 1.0	e i g o
個 1.0	k o
飛ぶ 1.0	t o b u
タバコ 1.0	t a b a k o
渡す 1.0	w a t a s u
大人 1.0	o t o n a
おとな 1.0	o t o n a
病気 1.0	by o u k i
歌 1.0	u t a
元気 1.0	g e N k i
今年 1.0	k o t o sh i
赤い 1.0	a k a i
半分 1.0	h a N b u N
有名 1.0	y u u m e i
出掛ける 1.0	d e k a k e r u
婆 1.0	b a a
向こう 1.0	m u k o u
洗う 1.0	a r a u
雪 1.0	y u k i
並ぶ 1.0	n a r a b u
消す 1.0	k e s u
短い 1.0	m i j i k a i
大切 1.0	t a i s e ts u
疲れる 1.0	ts u k a r e r u
降りる 1.0	o r i r u
左 1.0	h i d a r i
丁度 1.0	ch o u d o
バス 1.0	b a s u
学生 1.0	g a k u s e i
時々 1.0	t o k i d o k i
黒い 1.0	k u r o i
要る 1.0	i r u
有り難う 1.0	a r i g a t o u
ありがとう 1.0	a r i g a t o u
鼻 1.0	h a n a
村 1.0	m u r a
過ぎ 1.0	s u g i
すぎ 1.0	s u g i
明るい 1.0	a k a r u i
薄い 1.0	u s u i
嫌い 1.0	k i r a i
きらい 1.0	k i r a i
箱 1.0	h a k o
雨 1.0	a m e
静か 1.0	sh i z u k a
黒 1.0	k u r o
銀行 1.0	g i N k o u
借りる 1.0	k a r i r u
家庭 1.0	k a t e i
手紙 1.0	t e g a m i
弱い 1.0	y o w a i
メートル 1.0	m e : t o r u
椅子 1.0	i s u
テーブル 1.0	t e : b u r u
其方 1.0	s o ch i r a
そちら 1.0	s o ch i r a
背 1.0	s e
暗い 1.0	k u r a i
じゃ 1.0	j a
魚 1.0	s a k a n a
爺 1.0	j i i
電車 1.0	d e N sh a
医者 1.0	i sh a
伯母 1.0	o b a
遠い 1.0	t o o i
冷たい 1.0	ts u m e t a i
ベッド 1.0	b e - d o
絵 1.0	e
歌う 1.0	u t a u
コーヒー 1.0	k o : h i :
弟 1.0	o t o u t o
宜しい 1.0	y o r o sh i i
妹 1.0	i m o u t o
午後 1.0	g o g o
狭い 1.0	s e m a i
寒い 1.0	s a m u i
御免 1.0	g o m e N
ごめん 1.0	g o m e N
白 1.0	sh i r a
北 1.0	k i t a
春 1.0	h a r u
忙しい 1.0	i s o g a sh i i
風呂 1.0	f u r o
パン 1.0	p a N
外国 1.0	g a i k o k u
どうぞ 1.0	d o u z o
雑誌 1.0	z a - sh i
さあ 1.0	s a a
辺 1.0	h e N
吸う 1.0	s u u
履く 1.0	h a k u
休む 1.0	y a s u m u
庭 1.0	n i w a
玄関 1.0	g e N k a N
ええ 1.0	e e
男の子 1.0	o t o k o n o k o
冬 1.0	f u y u
御腹 1.0	o n a k a
音楽 1.0	o N g a k u
兄弟 1.0	ky o u d a i
動物 1.0	d o u b u ts u
貸す 1.0	k a s u
昼 1.0	h i r u
ボール 1.0	b o : r u
トイレ 1.0	t o i r e
着く 1.0	ts u k u
細い 1.0	h o s o i
