<NOISE> 1.0	NSN
!SIL 1.0	SIL
<SPOKEN_NOISE> 1.0	SPN
<UNK> 1.0	SPN
ก 1.0	k ɔː1
ก. 1.0	k ɔː1
ก.ค. 1.0	k ɔː1 kʰ ɔː1
ก.ท.ม. 1.0	k ɔː1 tʰ ɔː1 m ɔː1
ก.พ. 1.0	k ɔː1 pʰ ɔː1
ก.ย. 1.0	k ɔː1 j ɔː1
กก 1.0	k o k̚2
กกต. 1.0	k ɔː1 k ɔː1 t ɔː1
กกุท 1.0	k a2 k u t̚2
กกุธภัณฑ์ 1.0	k a2 k u t̚2 tʰ a4 pʰ a n1
กขค. 1.0	k ɔː1 kʰ ɔː5 kʰ ɔː1
กง 1.0	k o ŋ1
กงกาง 1.0	k o ŋ1 k aː ŋ1
กงการ 1.0	k o ŋ1 k aː n1
กงล้อ 1.0	k o ŋ1 l ɔː4
กงศุล 1.0	k o ŋ1 s u n5
กงสี 1.0	k o ŋ1 s iː5
กงสุล 1.0	k o ŋ1 s u n5
กงเวียน 1.0	k o ŋ1 w i a̯ n1
กฎ 1.0	k o t̚2
กฎข้อบังคับ 1.0	k o t̚2 kʰ ɔː3 b a ŋ1 kʰ a p̚4
กฎจราจร 1.0	k o t̚2 t͡ɕ a2 r aː1 t͡ɕ ɔː n1
กฎบัตร 1.0	k o t̚2 b a t̚2
กฎมนเทียรบาล 1.0	k o t̚2 m o n1 tʰ i a̯ n1 b aː n1
กฎหมาย 1.0	k o t̚2 m aː j5
กฎหมายปกครอง 1.0	k o t̚2 m aː j5 p o k̚2 kʰ r ɔː ŋ1
กฎหมายมนุษยธรรมระหว่างประเทศ 1.0	k o t̚2 m aː j5 m a4 n u t̚4 s a2 j a4 tʰ a m1 r a4 w aː ŋ2 p r a2 tʰ eː t̚3
กฎหมายมหาชน 1.0	k o t̚2 m aː j5 m a4 h aː5 t͡ɕʰ o n1
กฎหมายระหว่างประเทศ 1.0	k o t̚2 m aː j5 r a4 w aː ŋ2 p r a2 tʰ eː t̚3
กฎหมายระหว่างประเทศแผนกคดีบุคคล 1.0	k o t̚2 m aː j5 r a4 w aː ŋ2 p r a2 tʰ eː t̚3 pʰ a2 n ɛː k̚2 kʰ a4 d iː1 b u k̚2 kʰ o n1
กฎหมายระหว่างประเทศแผนกคดีเมือง 1.0	k o t̚2 m aː j5 r a4 w aː ŋ2 p r a2 tʰ eː t̚3 pʰ a2 n ɛː k̚2 kʰ a4 d iː1 m ɯ a̯ ŋ1
กฎหมายรัฐธรรมนูญ 1.0	k o t̚2 m aː j5 r a t̚4 tʰ a2 tʰ a m1 m a4 n uː n1
กฎหมายเหตุ 1.0	k o t̚2 m aː j5 h eː t̚2
กฎหมายเอกชน 1.0	k o t̚2 m aː j5 ʔ eː k̚2 k a2 t͡ɕʰ o n1
กฎเกณฑ์ 1.0	k o t̚2 k eː n1
กฏ 1.0	k o t̚2
กฐิน 1.0	k a2 tʰ i n5
กฐิน 1.0	k a2 tʰ i n5 n a4
กด 1.0	k o t̚2
กดขี่ 1.0	k o t̚2 kʰ iː2
กดดัน 1.0	k o t̚2 d a n1
กตัญญู 1.0	k a2 t a n1 j uː1
กติกา 1.0	k a2 t i2 k aː1
กติกาสัญญา 1.0	k a2 t i2 k aː1 s a n5 j aː1
กตเวที 1.0	k a2 t a2 w eː1 tʰ iː1
กถา 1.0	k a2 tʰ aː5
กทม. 1.0	k ɔː1 tʰ ɔː1 m ɔː1
กนก 1.0	k a2 n o k̚2
กบ 1.0	k o p̚2
กบ 1.0	k ɔː1 b ɔː1
กบฏ 1.0	k a2 b o t̚2
กบนา 1.0	k o p̚2 n aː1
กบเลือกนาย 1.0	k o p̚2 l ɯ a̯ k̚3 n aː j1
กบเหลา 1.0	k o p̚2 l a w5
กบเหลาดินสอ 1.0	k o p̚2 l a w5 d i n1 s ɔː5
กบในกะลา 1.0	k o p̚2 n a j1 k a2 l aː1
กบในกะลาครอบ 1.0	k o p̚2 n a j1 k a2 l aː1 kʰ r ɔː p̚3
กบไสไม้ 1.0	k o p̚2 s a j5 m aː j4
กร 1.0	k ɔː n1
กรกฎ 1.0	k ɔː1 r a4 k o t̚2
กรกฎา 1.0	k a2 r a4 k a2 d aː1
กรกฎา 1.0	k a2 r a k̚4 k a2 d aː1
กรกฎาคม 1.0	k a2 r a4 k a2 d aː1 kʰ o m1
กรกฎาคม 1.0	k a2 r a k̚4 k a2 d aː1 kʰ o m1
กรง 1.0	k r o ŋ1
กรงขัง 1.0	k r o ŋ1 kʰ a ŋ5
กรงเล็บ 1.0	k r o ŋ1 l e p̚4
กรณี 1.0	k a2 r a4 n iː1
กรณี 1.0	k ɔː1 r a4 n iː1
กรณีพิพาท 1.0	k ɔː1 r a4 n iː1 pʰ i4 pʰ aː t̚3
กรณีพิพาท 1.0	k a2 r a4 n iː1 pʰ i4 pʰ aː t̚3
กรด 1.0	k r o t̚2
กรน 1.0	k r o n1
กรม 1.0	k r o m1
กรม 1.0	k r o m1 m a4
กรมธรรม 1.0	k r o m1 m a4 tʰ a m1
กรมธรรม์ 1.0	k r o m1 m a4 tʰ a n1
กรรตุการก 1.0	k a t̚2 t u2 k aː1 r o k̚4
กรรตุการก 1.0	k a n1 t u2 k aː1 r o k̚4
กรรปุระ 1.0	k a n1 p u2 r a ʔ4
กรรม 1.0	k a m1
กรรม 1.0	k a m1 m a4
กรรมกร 1.0	k a m1 m a4 k ɔː n1
กรรมการ 1.0	k a m1 m a4 k aː n1
กรรมการก 1.0	k a m1 m a4 k aː1 r o k̚4
กรรมตามสนอง 1.0	k a m1 t aː m1 s a2 n ɔː ŋ5
กรรมวาจก 1.0	k a m1 m a4 w aː1 t͡ɕ o k̚2
กรรมสาร 1.0	k a m1 m a4 s aː n5
กรรมาชีพ 1.0	k a m1 m aː1 t͡ɕʰ iː p̚3
กรรมาชีพ 1.0	k a n1 m aː1 t͡ɕʰ iː p̚3
กรรเชียง 1.0	k a n1 t͡ɕʰ i a̯ ŋ1
กรรโชก 1.0	k a n1 t͡ɕʰ oː k̚3
กรรไกร 1.0	k a n1 k r a j1
กรรไกรตัดเล็บ 1.0	k a n1 k r a j1 t a t̚2 l e p̚4
กรรไกรเล็ก 1.0	k a n1 k r a j1 l e k̚4
กรวด 1.0	k r u a̯ t̚2
กรวย 1.0	k r u a̯ j1
กรอ 1.0	k r ɔː1
กรอก 1.0	k r ɔː k̚2
กรอง 1.0	k r ɔː ŋ1
กรอบ 1.0	k r ɔː p̚2
กระ 1.0	k r a ʔ2
กระจก 1.0	k r a2 t͡ɕ o k̚2
กระจกตา 1.0	k r a2 t͡ɕ o k̚2 t aː1
กระจกนาฬิกา 1.0	k r a2 t͡ɕ o k̚2 n aː1 l i4 k aː1
กระจกเงา 1.0	k r a2 t͡ɕ o k̚2 ŋ a w1
กระจง 1.0	k r a2 t͡ɕ o ŋ1
กระจอก 1.0	k r a2 t͡ɕ ɔː k̚2
กระจอกเทศ 1.0	k r a2 t͡ɕ ɔː k̚2 tʰ eː t̚3
กระจับ 1.0	k r a2 t͡ɕ a p̚2
กระจับปี่ 1.0	k r a2 t͡ɕ a p̚2 p iː2
กระจาด 1.0	k r a2 t͡ɕ aː t̚2
กระจาย 1.0	k r a2 t͡ɕ aː j1
กระจุก 1.0	k r a2 t͡ɕ u k̚2
กระจุกดาวลูกไก่ 1.0	k r a2 t͡ɕ u k̚2 d aː w1 l uː k̚3 k a j2
กระชอน 1.0	k r a2 t͡ɕʰ ɔː n1
กระชาก 1.0	k r a2 t͡ɕʰ aː k̚3
กระชาย 1.0	k r a2 t͡ɕʰ aː j1
กระซิบ 1.0	k r a2 s i p̚4
กระซู่ 1.0	k r a2 s uː3
กระดอ 1.0	k r a2 d ɔː1
กระดอง 1.0	k r a2 d ɔː ŋ1
กระดังงา 1.0	k r a2 d a ŋ1 ŋ aː1
กระดาน 1.0	k r a2 d aː n1
กระดาน 1.0	k r a1 d aː n1
กระดานชนวน 1.0	k r a2 d aː n1 t͡ɕʰ a4 n u a̯ n1
กระดานชนวน 1.0	k r a1 d aː n1 t͡ɕʰ a4 n u a̯ n1
กระดานดำ 1.0	k r a2 d aː n1 d a m1
กระดานถีบ 1.0	k r a2 d aː n1 tʰ iː p̚2
กระดานลื่น 1.0	k r a2 d aː n1 l ɯː n3
กระดานลื่น 1.0	k r a1 d aː n1 l ɯː n3
กระดานหก 1.0	k r a2 d aː n1 h o k̚2
กระดานหก 1.0	k r a1 d aː n1 h o k̚2
กระดานหมากรุก 1.0	k r a2 d aː n1 m aː k̚2 r u k̚4
กระดานหมากรุก 1.0	k r a1 d aː n1 m aː k̚2 r u k̚4
กระดานโต้คลื่น 1.0	k r a2 d aː n1 t oː3 kʰ l ɯː n3
กระดานไฟ 1.0	k r a2 d aː n1 f a j1
กระดาษ 1.0	k r a2 d aː t̚2
กระดาษ 1.0	k r a1 d aː t̚2
กระดาษชำระ 1.0	k r a2 d aː t̚2 t͡ɕʰ a m1 r a ʔ4
กระดาษทราย 1.0	k r a2 d aː t̚2 s aː j1
กระดาษทิชชู 1.0	k r a2 d aː t̚2 tʰ i t̚4 t͡ɕʰ uː3
กระดาษเงินกระดาษทอง 1.0	k r a2 d aː t̚2 ŋ ɤː n1 k r a2 d aː t̚2 tʰ ɔː ŋ1
กระดาษเช็ดปาก 1.0	k r a2 d aː t̚2 t͡ɕʰ e t̚4 p aː k̚2
กระดาษเช็ดปาก 1.0	k r a1 d aː t̚2 t͡ɕʰ e t̚4 p aː k̚2
กระดาษแก้ว 1.0	k r a2 d aː t̚2 k ɛː w3
กระดาษแข็ง 1.0	k r a2 d aː t̚2 kʰ ɛ ŋ5
กระดิก 1.0	k r a2 d i k̚2
กระดิ่ง 1.0	k r a2 d i ŋ2
กระดี่ได้น้ำ 1.0	k r a2 d iː2 d a j3 n aː m4
กระดุม 1.0	k r a2 d u m1
กระดูก 1.0	k r a2 d uː k̚2
กระดูกค้อน 1.0	k r a2 d uː k̚2 kʰ ɔː n4
กระดูกงู 1.0	k r a2 d uː k̚2 ŋ uː1
กระดูกซี่โครง 1.0	k r a2 d uː k̚2 s iː3 kʰ r oː ŋ1
กระดูกต้นขา 1.0	k r a2 d uː k̚2 t o n3 kʰ aː5
กระดูกต้นแขน 1.0	k r a2 d uː k̚2 t o n3 kʰ ɛː n5
กระดูกทั่ง 1.0	k r a2 d uː k̚2 tʰ a ŋ3
กระดูกน่อง 1.0	k r a2 d uː k̚2 n ɔ ŋ3
กระดูกสะบัก 1.0	k r a2 d uː k̚2 s a2 b a k̚2
กระดูกสันหลัง 1.0	k r a2 d uː k̚2 s a n5 l a ŋ5
กระดูกสันอก 1.0	k r a2 d uː k̚2 s a n5 ʔ o k̚2
กระดูกอ่อน 1.0	k r a2 d uː k̚2 ʔ ɔː n2
กระดูกเชิงกราน 1.0	k r a2 d uː k̚2 t͡ɕʰ ɤː ŋ1 k r aː n1
กระดูกแข้ง 1.0	k r a2 d uː k̚2 kʰ ɛ ŋ3
กระดูกโกลน 1.0	k r a2 d uː k̚2 k l oː n1
กระดูกโหนกแก้ม 1.0	k r a2 d uː k̚2 n oː k̚2 k ɛː m3
กระดูกโอบอก 1.0	k r a2 d uː k̚2 ʔ oː p̚2 ʔ o k̚2
กระดูกไหปลาร้า 1.0	k r a2 d uː k̚2 h a j5 p l aː1 r aː4
กระด้ง 1.0	k r a2 d o ŋ3
กระด้าง 1.0	k r a2 d aː ŋ3
กระติก 1.0	k r a2 t i k̚2
กระตือรือร้น 1.0	k r a2 t ɯː1 r ɯː1 r o n4
กระตือรือล้น 1.0	k r a2 t ɯː1 r ɯː1 l o n4
กระตุก 1.0	k r a2 t u k̚2
กระตุกหนวดเสือ 1.0	k r a2 t u k̚2 n u a̯ t̚2 s ɯ a̯5
กระตุ้น 1.0	k r a2 t u n3
กระต่าย 1.0	k r a2 t aː j2
กระต่ายป่า 1.0	k r a2 t aː j2 p aː2
กระต่ายหมายจันทร์ 1.0	k r a2 t aː j2 m aː j5 t͡ɕ a n1
กระต๊อบ 1.0	k r a2 t ɔ p̚4
กระถาง 1.0	k r a2 tʰ aː ŋ5
กระถางดอกไม้ 1.0	k r a2 tʰ aː ŋ5 d ɔː k̚2 m aː j4
กระถางต้นไม้ 1.0	k r a2 tʰ aː ŋ5 t o n3 m aː j4
กระทง 1.0	k r a2 tʰ o ŋ1
กระทบ 1.0	k r a2 tʰ o p̚4
กระทรวง 1.0	k r a2 s u a̯ ŋ1
กระทรวงศึกษาธิการ 1.0	k r a2 s u a̯ ŋ1 s ɯ k̚2 s aː5 tʰ i4 k aː n1
กระทะ 1.0	k r a2 tʰ a ʔ4
กระทะทองแดง 1.0	k r a2 tʰ a4 tʰ ɔː ŋ1 d ɛː ŋ1
กระทะใบบัว 1.0	k r a2 tʰ a4 b a j1 b u a̯1
กระทัดรัด 1.0	k r a2 tʰ a t̚4 r a t̚4
กระทันหัน 1.0	k r a2 tʰ a n1 h a n5
กระทา 1.0	k r a2 tʰ aː1
กระทำ 1.0	k r a2 tʰ a m1
กระทิง 1.0	k r a2 tʰ i ŋ1
กระทุง 1.0	k r a2 tʰ u ŋ1
กระทู้ 1.0	k r a2 tʰ uː4
กระท่อม 1.0	k r a2 tʰ ɔ m3
กระท้อน 1.0	k r a2 tʰ ɔː n4
กระนั้น 1.0	k r a2 n a n4
กระบถ 1.0	k r a2 b o t̚2
กระบวน 1.0	k r a2 b u a̯ n1
กระบวนการ 1.0	k r a2 b u a̯ n1 k aː n1
กระบวนพิจารณา 1.0	k r a2 b u a̯ n1 pʰ i4 t͡ɕ aː1 r a4 n aː1
กระบอก 1.0	k r a2 b ɔː k̚2
กระบอกฉีดยา 1.0	k r a2 b ɔː k̚2 t͡ɕʰ iː t̚2 j aː1
กระบอกเสียง 1.0	k r a2 b ɔː k̚2 s i a̯ ŋ5
กระบอง 1.0	k r a2 b ɔː ŋ1
